Date,2024-01-15 10:30:00
Filename,train_normal_003.csv
Data Label,정상
Label_No,00
Motor Spec,L-CAHU-01R,1765,11,21.8
Period,500SEC
Sample Rate,4000
RMS,0.00920997,
Data Length,500,
0.0,-0.0038530033673224093
0.00025,0.0023373726028231103
0.0005,-0.004285593778229696
0.00075,0.019062817960038475
0.001,-0.006881509770064821
0.00125,-0.0021043962930743986
0.0015,-0.013435062229182029
0.00175,0.019977124563134364
0.002,0.019187002559229595
0.0022500000000000003,0.00024872471897849103
0.0025,-0.0010245239253204612
0.00275,0.0027702299911878314
0.003,-0.003660051200159364
0.0032500000000000003,-0.011566798825540148
0.0035,0.0017214208760796155
0.00375,-0.0005816483787020536
0.004,-0.012424649417587504
0.00425,-0.002187632073916234
0.0045000000000000005,0.005865738840614818
0.00475,-0.0020920394303008774
0.005,0.009760526064972807
0.00525,0.00030689589001938047
0.0055,-0.0013993791396567218
0.00575,0.015535813114838926
0.006,-0.012113749667280805
0.00625,0.009468484817793516
0.006500000000000001,0.00042745471464320054
0.00675,0.01769520129864282
0.007,0.005151571363481997
0.00725,-0.0025596401495522293
0.0075,0.0035831586299805967
0.00775,0.00841720697921998
0.008,0.0021277920507817706
0.00825,0.013634776227747177
0.0085,-0.004054401225052088
0.00875,-0.0016381549818714478
0.009000000000000001,0.011838180520751142
0.00925,-0.006446331803825696
0.0095,0.005081234664109373
0.00975,-0.005112956906181683
0.01,-0.005517187526654911
0.01025,-0.0014914296647936722
0.0105,0.00507771501863582
0.010750000000000001,-0.0033359733202725167
0.011,-0.0015824863471628982
0.01125,-0.0023412412580789115
0.0115,-0.008732345496514846
0.01175,0.01089740080448682
0.012,0.0014534025658208356
0.01225,0.004270283297511799
0.0125,0.023295200849132648
0.012750000000000001,-0.000474349639322192
0.013000000000000001,0.00986812239225647
0.01325,0.0047540947876132
0.0135,0.0012563592898299698
0.01375,0.0054971169102182105
0.014,0.0007465802054234317
0.01425,0.0101936637232222
0.0145,0.019371094746779692
0.014750000000000001,0.014068395099849501
0.015,-0.00412444842529173
